processing_time,total_target_area,total_target_area_length,vert_count,test_type,output_prefix
0.000201941,76.362,155.877,39,naive,ACAM-Cover--scaled_outline_mesh0_z11900
0.00151491,76.3254,155.88,40,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z12100
0.000216007,76.3254,155.88,40,naive,ACAM-Cover--scaled_outline_mesh0_z12100
0.00358701,76.3653,155.859,42,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z12300
0.000250101,76.3653,155.859,42,naive,ACAM-Cover--scaled_outline_mesh0_z12300
0.000758886,85.7238,170.032,33,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z12500
0.00018692,85.7238,170.032,33,naive,ACAM-Cover--scaled_outline_mesh0_z12500
0.00103498,85.6657,170.03,32,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z12700
0.000209093,85.6657,170.03,32,naive,ACAM-Cover--scaled_outline_mesh0_z12700
0.00117016,85.7504,170.018,34,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z12900
0.00020504,85.7504,170.018,34,naive,ACAM-Cover--scaled_outline_mesh0_z12900
0.00215697,110.393,179.314,62,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z1300
0.000645876,110.393,179.314,62,naive,ACAM-Cover--scaled_outline_mesh0_z1300
0.00120592,85.7516,170.019,34,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z13100
0.000533819,85.7516,170.019,34,naive,ACAM-Cover--scaled_outline_mesh0_z13100
0.00749397,104.717,195.013,101,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z13300
0.000641823,104.717,195.013,101,naive,ACAM-Cover--scaled_outline_mesh0_z13300
0.0141039,109.231,195.29,101,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z13500
0.000778913,109.231,195.29,101,naive,ACAM-Cover--scaled_outline_mesh0_z13500
0.00570393,111.995,195.401,109,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z13700
0.000854015,111.995,195.401,109,naive,ACAM-Cover--scaled_outline_mesh0_z13700
0.00934005,113.599,195.437,109,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z13900
0.000845194,113.599,195.437,109,naive,ACAM-Cover--scaled_outline_mesh0_z13900
